id,artist_name,album_name,year,title,number,text,language,genre,mood_pred,score
335,NF,The Search,2019,The Search,1,"(Verse)""Hey, Nate, how's life?""
I don’t know, it's alright
I've been dealin’ with some things like every human being
And really didn't sleep much last night
""I'm sorry,"" that's fine
I just think I need a little me time
I just think I need a little free time
Little break from the shows and the bus rides, yeah
Last year I had a breakdown
Thoughts tellin' me I'm lost gettin' too loud
Had to see a therapist, then I found out
Somethin' funny’s goin’ on up in my house
Yeah, I started thinkin' maybe I should move out
You know, pack my cart, take a new route
Clean up my yard, get the noose out
Hang up my heart, let it air out
I’ve been searchin'
""What does that mean, Nate?"" I've been learning
Well, I brought a few with me, I'm not perfect
Lookin' at the view, like this concerns me
Pickin' up the cues, right? I'm quite nervous
Hate it when I lose sight, life gets blurry
And things might hurt me
It's prolly gonna be a long journey, but hey
It's worth it, though
Cold world out there, kids, grab your coats
It's been a minute, I know, now I'm back to roam
Lookin' for the antidote to crack the code
Pretty vivid; I admit it, I'm in classic mode
Don't need pity given to me, but I can't condone
Talkin' down to me, I'ma have to crack your nose for crackin' jokes
I'm lookin' for the map to hope, you seen it?
Been makin' a whole lot of changes
Wrote a song about that, you should play it
I get scared when I walk on these stages
I look at the crowd and see so many faces, yeah
That's when I start to get anxious
That's when my thoughts can be dangerous
That's when I put on my makeup and drown in self-hatred
Forget what I'm saying, and—
Where'd the beat go?
Oh, ain't that somethin'?
Drums came in, you ain't see that comin'
Hands on my head, can't tell me nothin'
Got a taste of the fame, had to pump my stomach
Throw it back up like I don't want it
Wipe my face, clean off my vomit
OCD, tryna push my buttons
I said don't touch it, now y'all done it
I can be critical, never typical
Intricate with every syllable, I'm a criminal
Intimate, but never political, pretty visual
Even if you hate it, I'll make it feel like you're in it, though
You call me what you wanna, but never call me forgettable
Leave you deep in thought, I could never swim in the kiddie pool
Way that I been thinkin' is cinematic, it's beautiful
Man, I don't know if I'm makin' movies or music videos (Videos, videos)
Yeah, the sales can rise
Doesn't mean much though when your health declines
See, we've all got somethin' that we trapped inside
That we try to suffocate, you know, hopin' it dies
Try to hold it underwater but it always survives
Then it comes up out of nowhere like an evil surprise
Then it hovers over you to tell you millions of lies
You don't relate to that? Must not be as crazy as I am
The point I'm makin' is the mind is a powerful place
And what you feed it can affect you in a powerful way
It's pretty cool, right? Yeah, but it's not always safe
Just hang with me, this'll only take a moment, okay?
Just think about it for a second, if you look at your face
Every day when you get up and think you'll never be great
You'll never be great—not because you're not, but the hate
Will always find a way to cut you up and murder your faith (Woo)
I've been developin', take a look at the benefits
Nothin' to meddle with, I can never be delicate
Am I even relevant? That depends how you measure it
Take a measurement, then bag it up and give me the evidence
Pretty evident; dependable can never be tentative
I'm a gentleman, depending on if I think you're genuine
Pretty elegant, but not afraid to tell you to get a grip
Proper etiquette, I keep it to myself when I celebrate, ah
It's that time again
Better grab your balloons and invite your friends
Seatbelts back on, yeah, strap 'em in
Look at me, everybody, I'm smilin' big
On a road right now that I can't predict
Tell me ""Tone that down,"" but I can't resist
Y'all know that sound, better raise your fist
The search begins, I'm back, so enjoy the trip, huh",en,Rap,anger,0.998690784
339,French Montana,Coke Zoo [Mixtape],2015,Gangsta Way (Ft. Chris Brown),8,"-Chris Brown-
You know I be riding round the town and down the block
(I be riding through the city girl)
You know I be riding round the town and down the block
(I be riding through the city)
I'm in my hood all day (I'm in my hood)
It's the gangsta way
You know my way (you know my way)
Them boys don't play (oh my niggas don't play)
You know I be riding round the town and down the block
(Just rolling through my city yeah)
You know I be riding round the town and down the block
(Just rolling through my city)
I'm in my hood all day (I'm in my hood)
-French Montana-
Niggas said Hollywood, a nigga done made it
If I don't make it, I'mma call her on Face
Time, she gon' go crazy
I just want her ass up, face down, yelling out ""baby""
Repping for my city, know they miss me, it's been a while, money ain't change me
Whip it then we flip it, head up North Street
Fuck what it cost, European whips, we be flossing
Limp when I walk, you fucking with a boss
Oh I'm, you now
-Chris Brown-
You know I be riding round the town and down the block
(I be riding through the city girl)
You know I be riding round the town and down the block
(I be riding through the city)
I'm in my hood all day (I'm in my hood)
It's the gangsta way
You know my way (you know my way)
Them boys don't play (oh my niggas don't play)
You know I be riding round the town and down the block
(Just rolling through my city yeah)
You know I be riding round the town and down the block
(Just rolling through my city)
I'm in my hood all day (I'm in my hood)
Girl you know I'll never leave
You know my heart is in these streets
And that ghetto love ain't changing
I'mma put on for my city, that's that Virginia in me
It's a big world for a little country boy, yeah yeah
Now everybody knows my name
Baby I'm coming home
Country nigga ain't change
You know I be riding round the town and down the block
(I be riding through the city girl)
You know I be riding round the town and down the block
(I be riding through the city)
I'm in my hood all day (I'm in my hood)
It's the gangsta way
You know my way (you know my way)
Them boys don't play (oh my niggas don't play)
You know I be riding round the town and down the block
(Just rolling through my city yeah)
You know I be riding round the town and down the block
(Just rolling through my city)
I'm in my hood all day (I'm in my hood)",en,Hip-Hop,anger,0.995761096
348,Wiz Khalifa,Blacc Hollywood,2014,Promises,3,"Say baby, I'mma wait up for you
I'mma have my way with your body
And when I'm done touching you
I bet you won't wanna
Give yourself to nobody
Baby when the lights go out
It's like we're the only ones
And I already feel it now
It's like you're the only one
Only one who knows just how
How to make the time stand still
We're caught in the moment
So don't let me down
You made those promises
Don't take 'em back now
Don't let me down
Do all the things you say that had me going
Let's get caught in the moment
Let's get caught in the moment
Smoking one and rolling one
I come and break you down for fun
You love it when I get up in it
Kiss your body when I'm finished
My drop crotch is by Knomadik
My drop top is automatic
Put you in it, now you tweaking
I kidnap you for the weekend
Rolling up and going up
I'm smoking weed and pouring up
I take that money and hold it up
I take your legs and fold em up
I take my time, I break it down
I tell you not to make a sound
I take that KK and pass it round
Your clothes keep dropping to the ground
So don't let me down
You made those promises
Don't take 'em back now
Don't let me down
Do all the things you say that had me going
Let's get caught in the moment
Let's get caught in the moment",en,Rap,joy,0.998872101
349,Bon Iver,folklore,2020,exile (Ft. Bon Iver),4,"I can see you standing, honey
With his arms around your body
Laughin', but the joke's not funny at all
And it took you five whole minutes
To pack us up and leave me with it
Holdin' all this love out here in the hall
(Chorus:)I think I've seen this film before
And I didn't like the ending
You're not my homeland anymore
So what am I defending now?
You were my town, now I'm in exile, seein' you out
I think I've seen this film before
Ooh, ooh, ooh
I can see you starin', honey
Like he's just your understudy
Like you'd get your knuckles bloody for me
Second, third, and hundredth chances
Balancin' on breaking branches
Those eyes add insult to injury
(Chorus:)I think I've seen this film before
And I didn't like the ending
I'm not your problem anymore
So who am I offending now?
You were my crown, now I'm in exile, seein' you out
I think I've seen this film before
So I'm leaving out the side door
So step right out, there is no amount
Of crying I can do for you
All this time
We always walked a very thin line
You didn't even hear me out (You didn't even hear me out)
You never gave a warning sign (I gave so many signs)
All this time
I never learned to read your mind (Never learned to read my mind)
I couldn't turn things around (You never turned things around)
'Cause you never gave a warning sign (I gave so many signs)
*So many signs, so many signs*
(You didn't even see the signs)
(Chorus:)*I think I've seen this film before
And I didn't like the ending
You're not my homeland anymore
So what am I defending now?
You were my town, now I'm in exile, seein' you out*
(I think I've seen this film before
So I'm leavin' out the side door)
So step right out, there is no amount
Of crying I can do for you
All this time
We always walked a very thin line
You didn't even hear me out (Didn't even hear me out)
You never gave a warning sign (I gave so many signs)
All this time
I never learned to read your mind (Never learned to read my mind)
I couldn't turn things around (You never turned things around)
'Cause you never gave a warning sign (I gave so many signs)
You never gave a warning sign (All this time)
(So many signs) I never learned to read your mind
(So many signs) I couldn't turn things around (I couldn't turn things around)
'Cause you never gave a warning sign (You never gave a warning sign)
You never gave a warning sign
Ah, ah ",en,Rock,anger,0.88077265
350,Tyga,Survive the Summer [Ep],2018,Kream (& Tyga),3,"First you get the money
Then you get the power
Respect
Look at Wallis
Hoes come last
Oh my God, Ronny!
Ayy, get it, get it, get it, get it, get it, get it, get it, get it
Ayy, get it, get it, get it, get it, get it, get it, get it, get it
Ayy, get it, get it, get it, get it, get it, get it, get it
Get it, get it, get it
(Cash rules everything around me)
Uh, open up the safe, bitches got a lot to say (raw)
Pussy in your face, that'll put you in your place (boom)
Seven letters on the plate, fuck you when I brake (bitch)
I got cars, I got bags, I got real estate (cash rules)
Foreplay, I ain't come to play (huh)
I got big fish money, he gon' bite the bait (yeah)
Can you drop it down, make that ass talk to me?
Keep that energy, gone off the Hennessy
Ass, I need my bag quickly
Separate six degrees, bitches think they knowin' me
Sex Pistols, Sid Vicious, wet you when it's horny
Hit me on my cash app, check it in the morning
Cash, in this bitch shinin'
Dressed in designer, she could get grimey
And it's perfect timing, gin with the tonic
Bella Hadid, homie could get it
Ass
Cash, cash
Ass, bags
Bag
Cash rules everything around me
Ayy, get it, get it, get it, get it, get it, get it, get it, get it (ass, cash, cash)
Ayy, get it, get it, get it, get it, get it, get it, get it, get it (ass, bags)
Ayy, get it, get it, get it, get it, get it, get it, get it (bag)
Get it, get it, get it, get it
Cash rules everything around me
(Uh-uh) Ass rules everything around me
Deep in that pussy, yeah I'm drowning
A shark in the water, how you found me?
Best get from 'round me (I'ma dog)
I go hunting like a bounty (woof)
(Cash rules) Ya, make my own rules
Tattoos on that ass, she do night school
Welcome to the players club, Ice Cube
Diamonds might make the news (uh)
Bitch that's photoshop like rappers with that autotune (cash, uh)
Uh, your cheques is not approved
RM 52, anoscope, water proof
Niggas talk a lot of boof, 'til they outside the booth
My niggas like golden state, inbound, pull up and shoot (swish)
Cash
Cash, ass
Ass, bags
Bag
Cash rules everything around me
Ayy, get it, get it, get it, get it, get it, get it, get it, get it (ass, cash, cash)
Ayy, get it, get it, get it, get it, get it, get it, get it, get it (ass, bags)
Ayy, get it, get it, get it, get it, get it, get it, get it (bag)
Get it, get it, get it, get it
Cash rules everything around me
Ass rules everything around me
Deep in that pussy, got him drowning (drownin', drownin')
Cash rules everything around me
A shark in the water, how you found me? (found me, found me, found me, found me, found me)
Cash rules (K.R.E.A.M get the money)
Cash rules (Dollar dollar bill y'all)",en,Rap,love,0.999689341
364,The Cat Empire,Two Shoes,,Miserere,6,"Do you ever look aroundturn your ear to the groundshow your face to the skyon a night when the skies echoe soundsfrom inside of your mindon the stage that you shonewhere the sun did become youand move with your thoughtsthrough the sighs and the scenesof the worlds you have seenand the sights that have beenyour reflection in shadows and dreams?- your reflection in shadows and dreams
Did you ever see a manwho did walk down the streetwhite robe with no shoes on his feetand on top of his head place a box with two slitsand the sign from his neck said 'I do not exist'or a woman who could not remember her namedid stutter and stutter again and againand saw you and called you her son her eyes saidmy being is gone but still I'm not dead?
Miserere
Have you ever seen a soundhave you listened to an imagehave you ever touched a thoughthave you ever tasted nothinghave you ever told a liethat was true more than truthbecause truth it had liedall its life when it spoke to you?And what did it sayit is that it is thisthis goes here here is thereit is not yes it isit was dulling your sensesyour eyes they were boundhave you ever my friendsbeen looking around?
And the other replieswith a wave of a hand
I am already here in this promised landbut not by a god and not by a kingand not by a spiritdeep from within
I am here because a miracle's a whimit's a flash of gloryit's an empty tinand maybe might lets you innot to save youbut to keep on looking
Miserere
Have you ever been so happy that you're sad?that the lights turn to stars and the stars become eyesand hello's are goodbye'sand the laughs are the sigh'sand the show disappears with the noteuntil next time
Long live livingif living can be this
Do you ever look aroundand find what is yet to be found?",en,Rock,sadness,0.979888976
366,Jethro Tull,The Broadsword And The Beast,1982,Cheerio,10,"Along the coast road, by the headland
The early lights of winter glow.
I'll pour a cup to you my darling.
Raise it up --- say Cheerio.",en,Rock,joy,0.981559515
367,Manowar,Kings Of Metal,1989,Wheels Of Fire,1,"Since the dawn of time
I've rolled across the earth
Spinning in the dust
Long before your birth
Eatin'tar and gasoline
Every light I see is green
Open pipes, my machines's triple-plated chrome
Spirit of the wheel
Wheels of fire burn the night
Ride across the sky
Wheels of fire, burning bright
We live to ride
Motors running
Now you're gonna learn
Waiting on the line
Make your tires burn
Fast, faster, faster, faster
Speeding always kills
Nothing else takes us to get these thrills
Spirit of the wheel
Wheels of fire burn the night
Ride across the sky
Wheels of fire burning bright
We live to ride
Blood and thunder on the road
My heart is pounding
My blood is nitroglycerin
I'm fire
Burning, burning, burning, burning
Ready to explode
Don't want nothing left of me to scrape off the road
Spirit of the wheel
Wheels of fire burn the night
Ride across the sky
Wheels of fire burning bright
We live to ride
Clouds of smoke
Tires screaming
Fire in my hair
Blown into a thousand pieces
Scattered everywhere
Fast, burn, burning, faster
Wanna take a ride
Spirit of the wheel
Wheels of fire ride
Spirit of the wheel
Wheels of fire burn the night
Ride across the sky
Wheels of fire burning bright
We live to ride",en,Metal,joy,0.998717427
369,The Yardbirds,The Yardbirds Greatest Hits Vol 1:1964-1966,1986,For Your Love,0," I'd bring you diamond rings
 And things right to your door.
For your love. (3 times)
I'd give you everything and more,
And that's for sure.
For your love.
I'd bring you diamond rings
And things right to your door.
For your love.
To thrill you with delight,
I'll give you diamonds bright.
There'll be things that will excite,
To make you dream of me at night.
For your love. (3 times)
For your love, for your love,
I would give the stars above.
For your love, for your love,
I would give you all I could.
For your love. (3 times)
I'd give the moon if it were mine to give.
For your love.
I'd give the stars and the sun 'fore I live.
For your love.
To thrill you with delight,
I'll give you diamonds bright.
There'll be things that will excite,
To make you dream of me at night.
For your love. (3 times)",en,Rock,joy,0.999698997
371,Yes,Going For The One,1977,Parallels,3,"When you've tried most everything and nothing's taking you higher.
When you come to realize, you've been playing with fire.
Hear me when I say to you, it's really down to your heart.
It's the beginning of a new love in sight.
You've got the way to make it all happen.
Set it spinning turning roundabout.
Create a new dimension.
When we are winning we can stop and shout
Making love towards perfection.
I've been all around the world and seen so many faces.
Young and old a story told, filling in my spaces.
Now without a trace of doubt I feel it every hour.
It's the beginning of a new love inside.
Could be an ever opening flower.
No hesitation when we're all about
To build a shining tower.
No explanations, need to work it out.
You know we've got the power.
Parallel our sights.
And we will find, that we, we need, to be, where we, belong.
Parallel our heights
Display our rights, and wrongs, and always keep it–STRONG.
It's the beginning of a new love in sight.
Could be an ever opening flower.
No explanations, need to work it out.
You know we've got the power.
It's the beginning of a new love inside.
You've got the way to make it all happen.
Set it spinning turning roundabout.
Create a new dimension.
When we are winning we can stop and shout
Making love towards perfection.",en,Rock,joy,0.999875784
372,Avenged Sevenfold,Avenged Sevenfold,2008,Critical Acclaim,1,"Be quiet, you might piss somebody off
Like me motherfucker, you've been at it for too long
While you feed off all this insecurity
You stand in front of me and bite the hand that feeds
(Self-righteousness is wearing thin)
Lies inside your head your best friend
(I'll bleed but not for fellow man)
Broken glass, your fake reflection
Telling them its all for something real
Don't forsake the words you speak
You've gone too far, acclaim
So how does it feel to know that someones kid in the heart of America
Has blood on their hands, fighting to defend your rights
So you can maintain the lifestyle that insults this family's existence
Well, where I'm from we have a special salute we wave high in the air
Towards all those pompous asses who spend their days pointing fingers
Fuck you
Be quiet, you might piss somebody off
Like the heartbeat of this country when antagonized too long
I'll be damned if you count me in
As part of your generous hypocrisy collected in a maze
(Tabloid gossip, we want less real)
There's no need for us to bury you
(Selfish agenda, once again)
Right this way, deter your own grave
Telling them its all for something real
Don't forsake the words you speak
You've gone too far, acclaim
All the way from the east to the west
We've got this high society looking down on this very foundation
Constantly reminding us that our actions are the cause of all their problems
Pointing the fingers in every direction
Blaming their own nation for who wins elections
They've never contributed a fucking thing to the country they love to criticize
Excuse the obscene, ignore the untrue
Depictions we see, try and get through
And many mistakes cant hurt
I'm not the last but I sure ain't the first
Be quiet, you might piss somebody off
(Self-righteousness is wearing thin)
Lies inside your head your best friend
(I'll bleed but not for fellow man)
Broken glass, your fake reflection
Telling them its all for something real
Don't forsake the words you speak
You've gone too far, acclaim",en,Rock,sadness,0.997520268
373,Sarah McLachlan,Surfacing,1997,Building A Mystery,1,"Sarah Mc
Lachlan : Building a mystery
You come out at night
That's when the energy comes
And the dark side's light
And the vempires roam
You strut your rasta wear
And you suicide poem
And a cross from a faith that died
Before Jesus came
You re building a mystery
You live in a church
Where you sleep with voodoo dolls
And you won't give up the search
For the ghosts in the halls
You wear sandals in the snow
And a smile that won't wash away
Can you look out the window
Without your shadow getting in the way
Oh you're so beautiful
With an edge and a charm
But so careful when i'm in your arms
[Refrain]
Cause you're working
Building a mystery
Holding on
And holding it in
Yeah you're working
Building a mystery
And choosing so carefully
You woke up sreaming aloud
A prayer from your secret god
You feed off our fears
And hold back your tears
Give us a tantrum and a know it all again
Just when we need one
When the evening's thin
Oh you're a beautiful
A beautiful fucked up man
You're setting up your razor wire shrine...
[Refrain] x 5",en,Alternative,anger,0.999649405
376,Chris Cornell,Scream,2009,Part Of Me,1,"Little girl, I love when she talks to me
Got to smile, when she walks that walk with me
Might cross my mind, but that's where it stops
No, that bitch ain't a part of me
She's got a hold, got a hold of me neck, oh yeah
I want the girl, but not what she's going through
But now that they tell she was rubbing up against me
But I swear, never meant a thing, she was just a fling
Little girl, I love when she talks to me
Got to smile, when she walks that walk with me
I want the girl, but I want a lot
Might cross my mind, but that's where it stops
Ooh
(Chorus) :
That bitch ain't a part of me
No, that bitch ain't a part of me
I said no, that bitch ain't a part of me
No, that bitch ain't a part of me
I said no, that bitch ain't a part of me
No, that bitch ain't a part of me
I said no, that bitch ain't a part of me
No, that bitch ain't a part of-part of-part of me
I love the girl, I'm lovin' the dress she wears
She's got a hold, got a hold of me neck, oh yeah
I wanna cry, the way that she moves
I want the girl, but not what she's going through
Ooh
(Chorus)
She was so friendly, I had one too many
But now that they tell she was rubbing up against me
But I swear, never meant a thing, she was just a fling
There's no other woman who does it like you
(Chorus)",en,Rock,joy,0.999849916
379,Josh Groban,Stages,2015,All I Ask For You (Ft. Kelly Clarkson),5,"No more talk of darkness
Forget these wide-eyed fears
I'm here, nothing can harm you
My words will warm and calm you
Let me be your freedom
Let daylight dry your tears
I'm here, with you, beside you
To guard you and to guide you
Say you love me
Every waking moment
Turn my head with talk of summertime
Say you need me with you, now and always
Promise me that all you say is true
That's all I ask of you
Let me be your shelter
Let me be your light, you're safe
No one can find you
Your fears are far behind you
All I want is freedom
A world with no more night
And you, always beside me
To hold me and to hide me
Then say you'll share with me
One love, one lifetime
Let me lead you from your solitude
Say you need me with you here, beside you
Anywhere you go, let me go too
That's all I ask of you
Then say you'll share with me
One love, one lifetime
Say the word and I will follow you
Share each day with me, each night, each morning
Say you love me
You know I do
Love me
That's all I ask of you
Anywhere you go let me go through
Love me
That's all I ask of you",en,Modern Composition,joy,0.999707639
380,Gorillaz,Bad Company [BO],2002,"911 (feat. D12, Terry Hall)",2,"[Intro]
Gorillaz
Back the fuck up
D12
(Proof)
There ain't no trouble in rock (rock)
On every block (block)
Late for school, late for work
But ahead of these cops (cops)
My credit is shock, in the detinate box (box)
Like, people take my life and thats pathetic as Pac's (Pac's)
A waste of the talent, say my boys is just no where
Placed on the planet, remain in poisonous warfare
Derelict arabic terrorists in the air
Shit arrogant apparent to punish people by their heritage,
Nato barriers, hate embarrassed
There is the faith to cherish
In your room face to face with race awareness
A race to s ?  ? army bombin' your God is with you
Calm over war, we gotta start our pistol
Cause if you right and, know you right, then where's your ritious ways
We sacrafice, snatch your life, many nights and days
Follow me into equality we might behave
And only christ can say the trife will reunite again
(Kuniva)
America owns, without a fucking care in my dome
Bearin' my bones, so far away staring at home
Stay at my zone, falling asleep late with my chrome
Feelin' hype from these rockets burning like straightenin' in the cones
Stay at the streets, bullshit and plans to beef
Spray at your peeps for christmas, give a k to my neice
Real nigga's feel us and fear us
Gorillaz beat on they chest when
Dangerous lyricist, I hope that you hear us
The spirit of Bugz is still in me
God bless it the trinity
Cause my bullets they come in three's like trilogy's
Put the knife away, missles away strike and blaze
So much smoke you can't tell the difference between night and day
Right away blow your life away, so light your haze
Hold tight grenede's so when it blows I'm slightly grazed
Kuniva might be crazed unleashin' unlikely rage
The next time you hear a verse from me I might be caged
[Chorus]
Aaaahhhiyyyaaaa
Ahhhayayayayay
Aaaahhhiyyyaaaa
Ahhhayayayayay
(Bizarre)
Everynight I talk to a black hawk, taking herion in bulks
Watch my body hit the chalks
I'm too lazy, mescalines got me crazy
Rape this old lady, while the bitch was having a baby
And I ain't never going home, Bizarre can for go
It's cold I'll be for cyphering, right from wrong
As I sit in my seat and remain calm
And close my eyes and wait for the bomb (here it comes ! )
(Airplane blows up)
(Swifty)
I'm gettin' the fuck on, I'm aggrivated
I know I'll make it, I'm in a place full of hatred
Treatin' my life like a sacrred
Try to check me, I break your neck
Disrespect me you get injected
It's hectic with some bullshit that happen
You least expected
We just don't accept it nigga
I go ahead, lift my trigger
Get rid of bitches, pay you a visit, then get your shit lit
I'm a nitwit with a big dick, and big balls
I don't miss shit
I hit all, whoever that did this
We gonna getch'all
[Chorus]
(Kon Artis)
Yo, yo
Now whether it's Sadam or Bin laden
Thats been startin all this trouble for us
Creepin horrors doin show after show, sleepin on the tour bus
We lost Aaliyah, lost our families, it takes no Tenges
You don't need us to say the world is fucked up dawgs can see it
Now it seems the public needs this shit to calm it's kids
Cuz they findin out how you lied about your twisted sins
They say we bad for you but shit our music is your friend
They cant deter you from the truth cause we the helping hand
(Terry Hall)
We are one, and one is all
We are, we are, we are one
And one is all
[Chorus]",en,Rap,anger,0.999839783
381,G-Unit,"No Mercy, No Fear",2002,Elementry (feat. Scarlett),3,"(Announcer)
G Unit, exclusive
(50 Cent)
G Unit !
(50 Cent)
A, B
(Scarlett)
You can't fuck with me
(50 Cent)
C, D
(Scarlett)
We from the Harlem streets
(50 Cent)
E, F
(Scarlett)
Don't talk me to death
(50 Cent)
G, H
(Scarlett)
It's elementary
(Scarlett)
Picture me rolling Range Rover, same color your Air Force Ones
White on white, ya like ?
Red I flight the night
From L. A. to N. Y.
I'm Harlem bound
You see how bitches tips up, when Scarlett 'round
Niggas get the heart to holla while we up in the club
But get intimidated when they see me sitting on dubs
I hear 'em whispering ""Ain't a man, shit that's her""
She roll with them G Unit niggas, that's what's up
Disrespect me, I'll have niggas blast ya up
Take my advice, don't let ya peoples gas ya up
I got a fetish for the chips
20's for the six
Hollows for the clips
Try me, if you think I'm playing bitch
And the police we'll have another crime scene taker
Jim Star crush your head, give your ass a shape-up
Uptown niggas known for the money they make
Everybody ain't shook, you see doing the shake
[Chorus](50 Cent)
The boss spending ends saying :
""Gimme that Benz, 20 inch rims, and four TV's""
The snitch in the precinct saying :
""He sell X, he sell techs, and he sell D""
The balla by the bar saying :
""Everybody drink, the best champgane, it's all on me""
Snitch in the back of the police car, pointing out the window saying, ""He robbed me""
It's elementary
(Lloyd Banks)
1, 2, 3, 4
50 Cent)
Lloyd Banks' in the house
(Lloyd Banks)
Now get the fuck on the floor
I slid through the front door
With the 9 and the velour
A cal in my pocket
You wil', I'mma pop it
I'm down for a profit
I'm ghetto as hell
You can't you tell ?
My road dog, under the jail
Getting frustrating mail
So I'm drinking and smoking
Thinking and hoping this cell gon' open
You can dance next to me, but don't throw an elbow
I'll throw one back and leave blood on your Shell Toes
Hell no I ain't paying for pleasure
Your pussy don't bring rainbows and pots of treasure
It's every girl's dream, to floss with the team
Long on the suine
Dvd's on the screen
Blowing on cream
Waiting for you to scheme
You ain't gotta know how to read, to spray a magazine
[Chorus](50 cent)
(Tony Yayo)
I don't wanna grow up, I'm a hustler kid
Go'head and stunt, see I don't pop two your wig
I'm artistic, intelligent, so much ability
When I use them big words, your bitch be feeling me
So ya'll niggas hate me, 'cause your wives be our groupies
Ya'll irritate me, like loud people in the movies
Fall back, matter fact back down
'Cause I just passed security without no pat down
You can catch me in the bathroom blowing a sticky
Or catch me on the dancefloor feeling some tits
Sex sells, so I'mma P-I-M-P
So my pockets never be empty
It ain't no problem, we scoop them models
We got condoms, coups, and lavish condos
50 got me getting ass like I never did
So when I step in the club, hoes love the kid
[Chorus]
[50 Cent]
The cat in the house go
Meow, meow, meow, meow, meow, meow, meow, meow, meow
The bird in the cage go
Tweet, tweet, tweet, tweet, tweet, tweet
It's elementary
(Announcer)
Yeah yeah",en,Rap,anger,0.982027352
383,Ja Rule,The Last Temptation,2002,Thug Loving (feat. Bobby Brown),2,"What up, Gotti, yeah
This is how it's goin' down
(All we need is a stage, Gotti)
Ha-ha, yeah, yeah, yeah (Yeah, come on, ha-ha-ha)
It's on and poppin', baby (It's on and poppin')
The Last Temptation, ha-ha
He's back
Y'all know who I'm talkin' 'bout
To the world over, B. Brown
Come on, come on
[Chorus]
I know you're gettin' bored
Dealin' with him
I know you miss my lovin', my thuggin'
Thug lovin'
And I know you're gettin' bored
Dealin' with him
I know you miss my lovin', my thuggin'
Thug lovin'
And I know you're gettin' bored
I know you're livin' your life faithfully, safely, away from me
But you miss bein' next to me, don't you
Don't let her love haunt you, lust for what you wanted
Go for your guns and back out on anyone who tries to interfere or intervene on me
Peelin' your wide body out of them tight jeans
Wrist on freeze, see it's on me
Shoes 19, comin' through in that new Bentley thing
From town to town and city to city
You and I make headlines like Lo and Diddy and Bob and Whitney
It appears the Lord sent me a pound
Real devilish and freak that ass
Forget the story, I know you're gettin' bored
And you ain't gettin' horny no more, is he
'Cause when it's all said and done, it's me
Lovin', thuggin' you
[Chorus]
Sweet thing livin' it
Won't you let me let you live it a little bit
I know a stressful relationship is hard to deal with
But ? had to deal with it
On your weekly visits
Use a code name to protect the innocent
Maybe I'm true generous
Generally believin' that all women want me
They don't wanna get even
But who do you believe in
Is it money or God
Betray your trust, sustain your vows
Secretly or sacred
'Cause I love it when you rock your body-body
Move your body-body
Rip up on the Bacardi
And roll up along side me
I love to see you wild and free
But occasionally you get cold wet feet
And all that it means to me is that you need my heat
'Cause when it's said and done you're gonna want me
Lovin', thuggin' you
[Chorus]
Baby, here I'm holdin' your love hostage
The ransom for you, sugar, be priceless
'Cause you been gettin' at me in many a ways
Now tell your man to watch his back and duck them strays
'Cause I've been in a rage lately
Hopin' God'll forgive me for all the sin and all the woman
All the drama I've been in and it's just the beginnin'
I hope your ass so you could see that nigga ain't hooked like me
But we one in the same, that's why we get along
Freak off and get it on
When we make love lookin' somethin' like soft porno
Tell me, baby, do you really wanna go home to him
But the brightest of days just look dim
When you're fucking with a loser, baby, you can't win
When it's said and done you're gonna need me
Lovin', thuggin' you
[Chorus]
Yeah, yeah, I.G, Ja Rule
B. Brown
Murder Inc.
Def Jam, Sony
This is what we buildin' here
Murder Inc.
Ha-ha-ha
Bobby Brown
Murder
Ha-ha
It's that real
Rule, baby
Bring it back my nigga
B. Brown, ha-ha
And I know you're gettin' bored
Dealin' with him",en,Rap,love,0.997192204
388,Seether,Seether Jamais Endisqués,,Blister,,"You're a blister
On a finger
And I'll keep you around,
Just to keep them around
So unexpected
You're sequestered
But you keep it alive,
Yea just keep it inside again
And than we'll follow you home again
And give the sickness we give to friends
And than we swallow you whole again
In my wide mouth
To praise
Just let it fester
Let it rest here
Just pretend we're contrived
Just pretend we're in bind
If we're rejected
We're expected,
Just to cling to the lie
And to keep it inside, yea
And than we'll follow you home again
And give the sickness we give to friends
And than we swallow you whole again
In my wide mouth
To please
If we find her
Can we keep her
Just as cold as we found her
As old as a memory
If she flinches
Seven menches
We'll just keep it alive
And just keep it inside, yea
And than we'll follow you home again
And give the sickness we give to friends
And than we swallow you whole again
In my wide mouth
To pray",en,Rock,anger,0.735128641
